acupoint,internationalnumber,nickname,meridian,place,symptom,matchpoint,picture,massage,massage_no,moxibustion,moxibustion_no,cupping,cupping_no,puncture,puncture_no,scratch,scratch_no,five_element_point,yuan_primary_point,meridian_name,luo_connecting_point,intersection_point,fiveshu_point
大陵穴," PC7","太陵 ",2,"神門、大陵、太淵、陽池、陽溪穴位橫斷面 (引自《嚴振國穴位解剖》)大陵穴位 (引自《經絡與穴道》)腕掌橫紋中點，當掌長肌與橈側腕屈肌腱之間凹陷處。《靈樞•本輸》：「掌後兩骨之間方下者也」；《針灸甲乙經》：「在掌後兩筋間陷者中」、《千金要方》：「一云掌後第一橫紋後兩筋間」；《動功按摩秘訣》：「在手掌橫紋正中間」。",清心、寧神。古典：心痛、心悸、心煩、胸中熱、胃痛、嘔吐、吐血、癲狂、癎症、喉痹、耳鳴、瘧疾、舌本痛、善笑不休、目赤黃、喘逆、身熱如火、頭痛如破、短氣胸痛、手攣不伸、瘡腫搔痒、指麻。現代：心肌炎、胃炎、失眠、肋間神經痛、腕管綜合征。,短氣：尺澤、大陵。喉痹嗌乾：偏歷、大陵。口氣：水溝、大陵。心痛：上脘、大陵。小便赤如血：關元、大陵。  ,https://4.bp.blogspot.com/-e6uIzlOOvbc/WPjodlj32VI/AAAAAAAARx4/yHPb4OkUCkEzoojRq3ciUAT0dEPvTh67QCK4B/s320/daling.jpg,"按摩:用大拇指或中指按揉200次,能夠治療心絞痛。","注意事項：先按壓後按揉,效果會更好。","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療心絞痛。",注意事項：以局部有溫熱感、無灼痛為宜。," "," "," "," ","刮痧:從腕向肘刮拭3~5分鐘,隔天1次,可用於治療口臭、嘔吐等。","注意事項：刮痧後飲用溫開水,以便排毒。",土穴,1,手厥陰心包經,NULL,NULL,俞穴
大骨空穴,EX-UE5,NULL,,在拇指背側指間關節的中點處為大骨空穴位所在之處。,衄多不止，風眩爛眼，內障久痛，吐瀉，目痛，目翳,NULL,https://2.bp.blogspot.com/-_bfQ5TLvmOA/WQF2sSN1jgI/AAAAAAAATAA/3c_JN3e1z1soHeM6iONFvPF9BURSwcVMACK4B/s400/dagukong1.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
天井穴," SJ10"," ",6,上臂伸側面，屈肘時肘尖直上一寸凹陷處，當肱骨鷹嘴窩部。《靈樞•本輸》：「在肘外大骨之上陷者中也…屈肘乃得之」；《太素•本輸》楊上善註：「肘後一寸」；《銅人腧穴針灸圖經》：「曲肘後一寸，叉手按膝頭取之，兩筋骨罅。」,疏風，清熱，消結。古典：頭痛，目赤，耳聾，喉痹，瘰癧，瘡腫，隱疹，癲癇，驚悸，胸痹，心痛，咳嗽上氣，唾膿，五噎十膈，翻胃吐食，頸項肩背痛，臂痿痹不仁、肘痛引肩不可屈伸。現代：蕁麻疹，神經性皮炎，頸淋巴結核。,胸痹心痛：天井。悲愁恍惚、悲傷不樂：神道、心俞、天井。頸淋巴結核：天井、曲池、臂臑。,https://3.bp.blogspot.com/-wdPccjriBbY/WPmvTG6P3cI/AAAAAAAAR20/BVJQSeBDhhsFLFNZZQnpWmjUPt7-fYM0QCK4B/s320/tianjing.jpg,"按摩:用大拇指按揉200次,每天持續,能治療偏頭痛。"," "," "," "," "," "," "," "," "," ",土穴,NULL,手少陽三焦經,NULL,NULL,合穴
天宗穴," SI11"," ",4,"天宗穴位 (引自《經絡與穴道》)肩胛部，岡下窩中央凹陷處，與第4胸椎相平。上直秉風。《針灸甲乙經》：「在秉風後，大骨下陷者中。」《循經考穴編》：「當是肩板骨下陷中」；《素問直解》：「肩解下三寸，兩天宗穴，相去秉風三寸。」",解太陽經邪，宣胸脅氣滯。古典：肩重肘臂痛不可舉，胸脅支滿，咳逆搶心、頰頷腫，肩胛痛，背痛。現代：乳腺炎、乳腺增生、產後乳少、肩關節周圍炎、落枕。,臂痛：天宗、手五里。肩胛下神經麻痹：天宗、臑俞、肩髎、臑會。肩關節周圍炎：天宗、肩髃、肩髎、陽陵泉。肩胛痛：天宗、秉風、肩外俞、膏肓俞。乳腺炎、產後乳少：膻中、乳根、天宗、少澤。,https://1.bp.blogspot.com/-3vfW5mCFWsw/WPYi4iGetYI/AAAAAAAARQU/YFRECPJ7u5kTe2PAysLHQkyzp57e8y-NQCK4B/s400/tianzong.jpg,"按摩:用中指按揉200次,每天持續,能治療肩背疼痛。"," ","艾灸:用艾條溫和灸5〜20分鐘,可用於治療咳喘、肩胛痛。"," "," "," "," "," "," "," ",NULL,NULL,手太陽小腸經,NULL,NULL,NULL
天容穴," SI17"," ",4,頸外側部，下頜角後方，胸鎖乳突肌前緣凹陷處。《針灸甲乙經》：「在耳曲頰後」；《靈樞經脈翼》作：「在耳下曲頰後」；《循經考穴編》：「約去頰分許陷中」；《針灸集成》：「在頰車向後二寸大些」。,清咽消腫。古典：耳聾、耳鳴、咽腫、喉痹梗咽，頸項癰腫，不能言，咳逆上氣，胸痛，胸滿不得喘息，嘔逆吐沫，齒噤，喘喝坐伏病惡埃煙、疝積，寒熱，頸項瘰癧不可顧，癭，肩痛不可舉，齒牙齲痛。現代：急性扁桃體炎、咽喉炎，中心性血管痙攣性視網膜病變、中風。,肩痛不可舉：天容、秉風。頸腫項痛不可顧：天容、前谷、角孫、腕骨、支正。耳聾，嘈嘈若蟬鳴：天容、聽會、聽宮、中渚。咳逆上氣、喘息、嘔沫齒噤：天容、廉泉、魄戶、氣舍、譩譆、扶突。急性扁桃體炎：天容、少商、合谷、曲池。咽喉炎：天容、天柱、合谷。  ,https://2.bp.blogspot.com/-HkRBj_6dd24/WPYauCwh5LI/AAAAAAAARPY/Jz-bevBi8vc5uks4TDaEN-1VAFwyIqk-QCK4B/s400/tianrong.jpg,"按摩:用大拇指按揉200次,每天持續,能夠治療頸項強痛、嘔吐"," "," "," "," "," "," "," "," "," ",NULL,NULL,手太陽小腸經,NULL,2,NULL
天府穴," LU3"," ",3,臂內側面，腋前紋頭下3寸，肱二頭肌橈側緣凹陷處。當腋前紋頭與肘橫紋尺側端連線上1/3折點的外方。《靈樞•寒熱病》：「腋下動脈」；《針灸甲乙經》：「在腋下三寸，臂臑內廉動脈中」；《外台秘要》：「以鼻嗅臂，點其鼻尖所著處」；《針方六集》：「垂手與乳相平」。,清宣肺氣，止衄，明目。古典：咳嗽、哮喘、鼻口出血、咽腫、癭氣、頭眩目暝、遠視、身腫、身重、風汗出、嗜睡、恍惚、善忘、瘧疾、肩臂痛。現代：支氣管炎、上臂痛。,鼻衄：天府、合谷。瘤、癭氣、咽腫：氣舍、天府。,https://2.bp.blogspot.com/-2BTCBjoOcGk/WQSaI0k81KI/AAAAAAAATR0/a8RmKpk_Ndgc5U3fnkenRVI5sJJGX2oPwCK4B/s400/tianfu1.jpg,"按摩:用大拇指或中指按揉200次,能防治肺部疾患。"," ","艾灸:因受風著涼引起上臂疼痛的患者,用艾條溫和灸5〜20分鐘,每天1次。"," "," "," "," "," "," "," ",NULL,NULL,手太陰肺經,NULL,NULL,NULL
天柱穴," BL10"," ",11,項後髮際，斜方肌外緣凹陷處，當後髮際正中旁開1.3寸。《針灸甲乙經》：「在俠項後髮際，大筋外廉陷者中」；《循經考穴編》：「腦後髮際當中各開寸半，大筋外廉陷中，合居風池下寸半。又法：當結喉旁各開九寸，風府之前，天牖之後。」《針灸集成》：「在玉枕後二寸少，去中行風府七分，去風池六分。」,清熱、祛風、明目、利竅。古典：頭重痛、肩背痛、眩暈、目瞑不能視、目赤痛，目泣出，目如脫，項如拔、項強惡風、癲癇、痙、厥逆、熱病汗不出、鼻塞、咽腫，小兒驚癇，目上反，足不仁。現代：食管痙攣、扁桃體炎、咽炎、喉炎、視網膜出血。,厥逆、頭重眩仆：天柱、大杼。頭痛：天柱、陶道、大杼、孔最、後溪。目眩，目不明，目如脫：天柱、陶道。目覺、肩痛欲折：天柱、養老。項強惡風：天柱、束骨。慢性扁桃腺炎：天柱、大杼、魚際、液門。項強：天柱、落枕。,https://2.bp.blogspot.com/-n9pyhP_1ER4/WPcYdi2y19I/AAAAAAAARaI/Cl66jdpXYHYDU3pdBU6CKBQV2B_z02x9ACK4B/s320/tianzhu.jpg,"按摩:用大拇指或中指按揉200次,能治療後頭痛","注意事項：力道適中,以有酸脹感為宜。","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療鼻塞、肩背痛。","注意事項：艾灸時注意安全,避免灼燒頭髮。"," "," "," "," "," "," ",NULL,NULL,足太陽膀胱經,NULL,NULL,NULL
天樞穴," ST25","長溪, 穀門 ",14,腹中部，臍中旁2寸，腹直肌中。《針灸甲乙經》：「俠臍兩旁各二寸，陷者中」。,疏調大腸，扶土化濕，和營調經，理氣消滯。古典：嘔吐，下利，腹痛，便秘，腸鳴腹脹，水腫，赤白帶下，月經不調，淋濁，不孕，瘧振寒，熱甚狂言，臍疝繞臍而痛，時上衝心，氣疝，嘔噦，面腫，奔豚，食不化，身腫，女子胞中痛，症瘕吐血，小便不利，霍亂，虛損勞弱，久瀉不止，大便數。現代：急慢性胃炎，急慢性腸炎，菌痢，腸麻痹，急性腸梗阻，闌尾炎，腹膜炎，腸道蛔虫症，子宮內膜炎。,食不化、不嗜食、俠臍急：天樞、厲兌、內庭。面浮腫：天樞、豐隆、厲兌、陷谷、衝陽。月潮違限：天樞、水泉。痢疾：天樞、大腸俞、足三里。腸麻痹：天樞、氣海、大腸俞、上髎。闌尾炎：天樞、合谷、闌尾、上巨虛、關元。,https://3.bp.blogspot.com/-YVR3CF9g7b0/WPTMYLrUR8I/AAAAAAAARCQ/LBfbLJ8lDz8e4t16Ky3bU0IK3W1fQFB6QCK4B/s400/tianshu.jpg,"按摩:用大拇指或掌根按揉200次,可用於治療腹痛、便秘、腹瀉。","注意事項：力道適中,以有酸脹感為宜。","艾灸:用艾條溫和灸5〜20分鐘,可用於治療便秘、腹瀉、痛經。","注意事項：以局部有溫熱感 、無灼痛為宜。","拔罐:用火罐留罐5〜10分鐘,隔天1次,可用於治療便祕、減肥。",注意事項：留罐時間不宜超過20分鐘。," "," ","刮痧:從中間向兩側刮拭3~5分鐘,隔天1次,可用於治療痢疾、腸癰。","注意事項：刮痧後,忌風扇或空調直吹。",NULL,NULL,足陽明胃經,NULL,2,NULL
天池穴," PC1","天會 ",2,胸部乳頭外側1寸，前正中線旁開5寸，當第4肋間隙凹陷處。《靈樞•本輸》：「腋下三寸」；《針灸甲乙經》：「在乳後一寸，腋下三寸，著脅，直腋撅肋間。」,寬胸、消脹。古典：胸滿脅痛、咳嗽氣急、胸中有聲、喉中鳴、頭痛、熱病汗不出、瘰癧、腋下腫痛、四肢不舉、臂痛、目不明。現代：心絞痛、心肌炎、乳腺炎、乳汁分泌不足、肋間神經痛。,腋腫：委陽、天池。  ,https://3.bp.blogspot.com/-MGJ3fvqy1Sk/WPil6hLKLhI/AAAAAAAARtw/6msWsRluXqQKwT1zL70v4wyqiE0cSxsFwCK4B/s400/tianchi.jpg,"按摩:用大拇指或中指按揉200次,能治療胸問等疾病。"," ","艾灸:用艾條溫和灸5〜20分鐘,可用於治療心痛等。"," "," "," "," "," "," "," ",NULL,NULL,手厥陰心包經,NULL,NULL,NULL
天泉穴," PC2"," ",2,上臂內側，腋前紋頭下2寸，肱二頭肌的長頭與短頭之間凹陷處。《針灸甲乙經》：「在曲腋下，去臂二寸」；《針方六集》：「居臑間」；《循經考穴編》：「看腋間對縫處量下二寸」。,寧心、寬胸。古典：心痛、心悸、胸脅滿痛、咳逆、昏暈、石水、肩背痛、臂痛、足不收痛不可行、目不明。現代：心絞痛，上臂癱瘓。,肩臂痛：天泉、腕骨。  ,https://3.bp.blogspot.com/-e35Hb-K9nY4/WPi-rJbstsI/AAAAAAAARvY/Snfqnx4Xp_4vg2jwg2WhevtmaMpBiqSSACK4B/s320/tianquan.jpg,"按摩:用大拇指按揉200次,能治療咳嗽、心悸等。"," ","艾灸:用艾條溫和灸5〜20分鐘,可用於治療前臂内側冷痛"," "," "," "," "," "," "," ",NULL,NULL,手厥陰心包經,NULL,NULL,NULL
天溪穴," SP18",天谿,10,"天溪穴位 (引自《經絡與穴道》)胸外側部，乳頭外旁2寸，當第4肋間隙凹陷處。《針灸甲乙經》：「在胸鄉下一寸六分陷者中」；《循經考穴編》：「與膻中平」；《針灸逢源》：「去中各六寸」；《針灸集成》：「直乳頭後二寸」。",寬胸、通乳。古典：胸中滿痛、乳癰腫潰、咳逆上氣、喉鳴有聲、呃逆。現代：產後乳少。,乳癰腫潰：天溪、俠溪。吐逆上氣：中府、天溪。胸中滿痛、咳喘：膻中、天溪、肺俞、膈俞、內關。  ,https://2.bp.blogspot.com/-6ehz7DBnyZs/WQRXBqYZOaI/AAAAAAAATQU/Ip7ecRAzxM4-trG2ZsR7Ilu-F9omD2xwQCK4B/s640/yingchuang1.jpg,"按摩:用大拇指按揉200次,用於治療胸脅脹痛。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足太陰脾經,NULL,NULL,NULL
天牖穴," SJ16"," ",6,頸側部，胸鎖乳突肌後緣，顳骨乳突後緣直下與下頜角相平處，天容與天柱連線的中點。《針灸甲乙經》：「在頸筋間，缺盆上，天容後，天柱前，完骨後(下)，髮際上。」《類經圖翼》補充：「上夾耳後一寸」；《循經考穴編》：「頷骨盡處壅肉上」；《針灸集成》：「在風池下一寸微外些」；,清頭風，明耳目。古典：頭痛、目眩、面腫、暴聾氣蒙、耳目不明、喉痹、鼻塞、鼻衄、瘰瘍、目痛、夜夢顛倒、肩背痛、項強。,項強不得顧：天牖、後溪。面腫：天牖、譩譆、風池。喉痛：天牖、合谷。腰背牽痛難轉動：風池、天牖、合谷、崑崙。,https://1.bp.blogspot.com/-xnFZeGN1h40/WPm-RjfX_-I/AAAAAAAAR5g/qtwv8oHzhiYSyzFYd73M7Nfx4ZaUQ0b7ACK4B/s1600/tianyou.jpg,"按摩:用大拇指按揉200次,每天持續,能治療頸痛、偏頭痛、耳鳴。"," ","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療偏頭痛、耳鳴。"," "," "," "," "," "," "," ",NULL,NULL,手少陽三焦經,NULL,NULL,NULL
天突穴," RN22","玉戶, 天瞿 ",1,頸前正中線，胸骨上窩中央。《針灸甲乙經》：「在頸結喉下二寸中央宛宛中」；《備急千金要方》作「五寸」；《素問•骨空論》王冰註：「缺盆兩間之中…在頸結喉下同身寸之四寸。」,平喘，利氣。古典：咳嗽，哮喘，暴暗，喉痹，咽乾，喉痛，噎，舌下急，癭，肺癰，唾膿血，喉中熱瘡不得下食，氣哽，心痛，隱疹，頭痛，面皮赤熱，身肉盡不仁。現代：支氣管炎，百口咳，咽喉炎，膈肌痙攣，神經性嘔吐，失語，咽炎，梅核氣，食管炎，食管痙攣，食管癌，單純性甲狀腺腫，聲帶疾病。,哮喘：天突、膻中。氣噎：天突、關衝。喑啞：天突、靈道、陰谷、復溜、豐隆、然谷。冷哮：天突、列缺、乳根、中脘、足三里。膈肌痙攣：天突、膈俞、內關。咳嗽、哮喘：天突、膻中、尺澤。  ,https://3.bp.blogspot.com/-Hm68tLJacU0/WP4C1dTVG1I/AAAAAAAAShI/U4aUJ17j7WIt1Mh5XNK3OcKInAtWV1K8gCK4B/s400/tiantu1.jpg,"按摩:用大拇指按揉200次,每天持續,能治咳嗽"," ","艾灸:用艾條溫和灸5〜20分鐘,可治療咳嗽、哮喘等"," "," "," "," "," "," "," ",NULL,NULL,任脈,NULL,2,NULL
天窗穴," SI16","窗籠 ",4,頸外側部，胸鎖乳突肌後緣與喉結相平處。當扶突後上5分。《針灸甲乙經》：「在曲頰下，扶突後，動脈應手陷者中。」《針灸集成》：「在直耳下二寸」。,清咽、消腫、開音。古典：頰腫痛、肩痛引項、耳鳴、耳聾、暴喑不能言，咽冷聲破，中風緩縱不隨，喉嗌痛、乳蛾、喉痹、癭氣、頸痛、頭痛、癮疹、癲狂、肩痛引項、齒噤、汗出、痔漏。現代：甲狀腺腫大。,中風、失喑、不能言語、緩縱不隨：百會。口噤：天窗、翳風。乳蛾、單蛾：天窗穴。雙蛾：天窗、尺澤、神門、足三里、太溪、少商。癭：天窗、臑會。,https://2.bp.blogspot.com/-FBwnyKPtlis/WQHqJjRw9BI/AAAAAAAATLc/rau7ziOIibAxrJMPyUA0WAO4tpW2r0mxgCK4B/s400/tianchuang.jpg,"按摩:用大拇指按揉200次,每天持續,能治療頸項強痛。"," "," "," "," "," "," "," "," "," ",NULL,NULL,手太陽小腸經,NULL,NULL,NULL
天衝穴," GB9","天衢 ,天沖",13,頭部耳根後緣直上入髮際二寸，當率谷後五分處。《針灸甲乙經》：「在耳上如(稍)前三分」；《銅人腧穴針灸圖經》：「耳後入髮際二寸」；《循經考穴編》：「在耳平後三分，入髮際二寸」；《醫學入門》：「承靈後一寸半」，意指在承靈穴之旁。,祛風，定驚。古典：頭痛，癲疾，癇證，善驚恐，牙齦腫，耳虛鳴濕痒。現代：遺傳性共濟失調，震顫性麻痹，癔病。,反張悲哭：天衝、大橫。頭痛、癲癇：天衝、風池、百會、角孫、頭維、合谷。  ,https://3.bp.blogspot.com/-wnllXplpPFI/WPthMoaPU1I/AAAAAAAASCg/iUZMYiO6A5Ys9zFzkpfypXHCOeC8QdEJACK4B/s400/tianchong.jpg,"按摩:用大拇指按揉200次,每天持續,能夠治療偏頭痛、眩暈等症。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足少陽膽經,NULL,NULL,NULL
天谿穴," "," ",10,胸外側部，乳頭外旁2寸，當第4肋間隙凹陷處,肺炎、前胸疼痛、胸痛、咳嗽、多痰、乳腺炎、乳房硬結、氣喘、胸悶、肋間疼痛、產後乳汁不足、打嗝、支氣管炎、,,https://i2.kknews.cc/SIG=3ore6dr/nq40005s121o2ss4pr1.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,足太陰脾經,NULL,NULL,NULL
天髎穴," SJ15"," ",6,肩背部肩胛骨上角處，肩井與曲垣之間，約與陶道相平，當第一胸椎棘突與肩峰連線的中點。《針灸甲乙經》：「在肩，缺盆中，毖骨之間陷者中」，《針灸聚英》：「當缺盆陷上，突起肉上」；《循經考穴編》：「與大杼、附分約間寸許」；《類經圖翼》：「直肩井後一寸」。,古典：身熱汗不出，胸中煩滿，肩重痛不舉，缺盆痛，頸項急，項腫大。現代：肩關節周圍炎。,肩重痛不舉：天髎、曲池。  ,https://2.bp.blogspot.com/-dkGzbrCvmMY/WPm9ZntsyaI/AAAAAAAAR5M/Ou7a1LSPDTY4KGC-yASQZXewAxg8bY06gCK4B/s400/tianliao.jpg,"按摩:用大拇指按揉200次,每天持續,能夠治療肩背痛、落枕。"," ","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療肩背冷痛、上肢痹痛。"," "," "," "," "," "," "," ",NULL,NULL,手少陽三焦經,NULL,NULL,NULL
天鼎穴," LI17","天頂 ",7,頸外側部，胸鎖乳突肌後緣，當結喉旁，扶突與缺盆連線的中點處。《針灸甲乙經》：「在缺盆上，直扶突，氣舍後一寸五分」；《銅人腧穴針灸圖經》：「直扶突後一寸」；《針灸資生經》：「氣舍後一寸。」,利咽喉，清肺氣。古典：暴喑氣梗，喉痹咽，痛不得息，飲食不下，喉中鳴。現代：扁桃體炎，喉頭炎，呃逆，上肢麻木。,失音囁嚅：天鼎、間使。喉痹梗噎，咽腫不得消，食飲不下：天鼎、氣舍、膈俞。  ,https://2.bp.blogspot.com/-W9KM95V6ClE/WPRe54NIcVI/AAAAAAAAQ5o/vaT9tu_J6Cgq00AN5ef8-8aufucSh26BgCK4B/s400/tianding.jpg,"按摩:用大拇指按揉,能防治肩臂疼痛、頸痛。"," ","艾灸:用艾條溫和灸5〜20分鐘,每天1次可用來治療五十肩、頸痛等疾病。"," "," "," "," "," "," "," ",NULL,NULL,手陽明大腸經,NULL,NULL,NULL
太乙穴," ST23","太一 ",14,上腹部，臍中上2寸（下脘）旁開2寸處，當不容與天樞連線的下1/3折點。《針灸甲乙經》：「在關門下一寸」；《類經圖翼》：「對下脘」古典：癲狂，脘痛，腸疝，腳氣，遺尿，心煩，吐舌。現代：嘔吐。,"  "," ",https://1.bp.blogspot.com/-OOHvcRY1_FU/WPTCiZI91gI/AAAAAAAARBA/8op5YeENa10hy1t6uasWunR55cC0gpp8wCK4B/s320/taiyi.jpg,"按摩:用大拇指或掌根按揉200次,可用於治療胃痛、胃脹。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
太淵穴," LU9"," ",3,"神門、大陵、太淵、陽池、陽溪穴位橫斷面 (引自《嚴振國穴位解剖》)太淵穴位 (引自《經絡與穴道》)腕掌側橫紋橈側，橈動脈搏動處。當舟骨結節外上方，橈側腕屈肌腱與拇長展肌腱之間。《靈樞•本輸》：「魚後下陷者中也」（據《黃帝內經太素》）；《針灸甲乙經》：「在掌後陷者中」；《針灸資生經》：「在手中掌後橫紋頭陷中」。",宣肺平喘，清咽消腫，復脈。古典：咳嗽、氣喘、咯血、肺脹、胸中滿、乳脹、心痛、胃氣上逆、腹脹、風痰、煩躁狂言、頭痛、面腫痛、目痛、牙痛、肩背痛引臂膊、肘痛、手腕疼痛無力、缺盆腫。現代：流行性感冒、咽喉腫痛、支氣管炎、百日咳、肺結核、胸痛、無脈症、脈管炎、心悸、鼻炎。,嘔血上氣：太淵、神門。缺盆腫：太淵、商陽、足臨泣。無脈症：曲池、內關、太淵、合谷、足三里。,https://2.bp.blogspot.com/-OW1uO7Y3_ag/WPMmtnOGWWI/AAAAAAAAQyQ/V4uOM-QoZw4gAXbcymBdWP3QEJHqwKqpACK4B/s400/taiyuan.jpg,"按摩:用拇指按壓片刻,然後鬆開,反覆5〜10次,可治療手掌冷痛麻木。"," ","艾灸:用艾條溫和灸5〜20分鐘,可用於治療咯血、胸滿。"," "," "," "," "," "," "," ",土穴,1,手太陰肺經,NULL,NULL,俞穴
太溪穴," KI3","太谿, 呂細 ",12,"太谿穴位橫斷面 (引自《嚴振國穴位解剖》)太谿穴位 (引自《經絡與穴道》)足內側部，內踝後方，內踝尖與跟腱之間凹陷處。《靈樞•本輸》：「內踝之後，跟骨之上，陷者中也。」《醫學入門》：「內踝後五分」；《循經考穴編》：「踝骨尖平」。",益腎、降火。古典：默默嗜臥、溺黃、少腹熱、腹脹、心痛、喘息、嘔吐、咳逆、胸脅支滿、嗌中腫痛、唾血、口中熱、唾如膠、消渴、霍亂、泄出不知、寒厥、足熱、牙痛、遺精、遺尿、尿有餘瀝、月經不調、帶下，陰股內濕痒生瘡、乳癰、鼻衄、足腫、足底痛。現代：慢性咽喉炎、眩暈、腎炎、尿路感染、失眠、神經衰弱、腎虛牙痛、中心性視網膜脈絡膜炎、足底痛。,咽中乾、口中熱唾如膠：少澤、太溪。咽腫：中渚、太溪。衄血不止：兌端、腦空、風門、太溪、隱白。腿足腫紅：太溪、崑崙、申脈。眩暈：完骨、太溪、太衝。腎虛牙痛：下關、頰車、太溪。失眠多夢：神門、三陰交、太溪。  ,https://2.bp.blogspot.com/-Hu6dnB6nVEY/WPhOQ4CMyaI/AAAAAAAARm8/_MLFje5RErsZPBKnEVLyp3aPUkAfJhrMwCK4B/s400/taixi.jpg,"按摩:用大拇指用力按揉200次,用於治療頭痛、眩暈、耳鳴等。",注意事項：力道可以稍重。,"艾灸:用艾條溫和灸5〜20分鐘,每天1次,可以治療各種腎虛引起的症狀。",注意事項：距皮膚2〜3公分熏灸。," "," "," "," "," "," ",土穴,1,足少陰腎經,NULL,NULL,俞穴
太白穴," SP3"," ",10,足內側緣，足大趾本節（第1跖趾關節）後下方赤白肉際凹陷處。《針灸甲乙經》：「在足內側核骨下陷者中」；《神應經》：「大都後一寸，下一寸」；《循經考穴編》：「當是足大指本節骨後，內側貼骨陷中赤白肉際。」《黃帝內經太素》楊上善註：「核骨在大指本節之後，然骨之前高骨是也。」,扶脾土，和中焦，調氣機，助運化。古典：熱病先頭顏痛，滿悶不得臥，腹滿，兩頷痛，食不化，胸肋脹，腸鳴切痛，胃心痛，嘔吐，霍亂逆冷，大便難，泄瀉膿血，痔漏，鼓脹，腰痛不可俯仰，身重骨酸，腳氣紅腫。現代：糖尿病。,腹脹食不化、鼓脹腹中氣大滿：太白、公孫。腸鳴：太白、公孫、大腸俞、三焦俞。腸癰痛：太白、陷谷、大腸俞。腹脹：太白、復溜、足三里。  ,https://3.bp.blogspot.com/-w-IVuyiwbEo/WPYGVI32qdI/AAAAAAAARNw/fBJzs65ygVMZ62x34ZnG2zvt7OMFOJ6HwCK4B/s400/taibai.jpg,"按摩:用大拇指指尖用力掐揉200次,用於治療腹脹。"," ","艾灸:用艾條溫和灸5〜20分鐘,可用來治療完谷不化。"," "," "," "," "," "," "," ",土穴,1,足太陰脾經,NULL,NULL,俞穴
太衝穴," LR3",太沖,9,"太衝、公孫穴位橫斷面 (引自《嚴振國穴位解剖》)太衝穴位 (引自《經絡與穴道》)足背第1∼2跖骨間隙的後方凹陷處。當行間後二寸。《靈樞•本輸》：「行間上二寸陷者之中也」；《針灸甲乙經》：「在足大指本節後二寸，或曰一寸五分陷者中」。",平肝熄風、清熱利膽、明目。古典：頭痛、眩暈、目昏、目痒、目赤痛、迎風流淚、唇歪，喉痛、嗌乾、咽喉氣梗、脅痛、腹痛、疝痛、陰部痛、陰縮、癃閉、遺尿、淋病、驚癎、腹中雷鳴、嘔逆不食、飧泄、脅下支滿、少腹滿、大便難、黃疸、腰痛、寒濕腳氣痛、股膝腫痛、行步難移，產後汗出不止、漏下、月水不通，乳癰。現代：肝炎，高血壓，神經衰弱，功能失調性子宮出血、滯產、月經不調、乳腺炎、乳腺增生，肋間神經痛、近視、視力減退、青光眼、結膜炎、血小板減少症，面肌痙攣、手指震顫、震顫性麻痹，癔病。,乳癰：復溜、太衝。經漏：太衝、然谷。溏泄：神闕、三陰交、太衝。行步難移：太衝、丘墟。急性病毒性肝炎：足三里、太衝、湧泉。行步艱難：太衝、足三里、中封。虛勞浮腫：腎俞、太衝。女人漏下不止：三陰交、太衝。赤眼：迎香、足臨泣、合谷、太衝。寒熱痹痛：合谷、太衝。  ,https://3.bp.blogspot.com/-OSDxPy9w7XQ/WPxPbSKvDEI/AAAAAAAASLg/vIBHs3FAIM0AxbLlHx0QoMMrVC0EF5rTACK4B/s1600/taichong.jpg,"按摩:用大拇指指尖用力掐揉200次,用於治療眩暈、頭痛。","注意事項：力道適中,以有酸脹感為宜。","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可治療月經不調、遺尿等。",注意事項：以局部有溫熱感無灼痛為宜。," "," "," "," ","刮痧:從蹠趾關節向足尖方向刮拭3~5分鐘,隔天1次,可用於治療失眠。","注意事項：沾潤滑劑保持潤滑,以免刮傷皮膚。",土穴,1,足厥陰肝經,NULL,NULL,俞穴
