acupoint,symptom,meridian
命門穴,手足逆冷,13
命門穴,排尿困難,13
命門穴,排尿疼痛,13
命門穴,早洩,13
命門穴,暈眩,13
命門穴,月經期間腹瀉,13
命門穴,月經期間身體發熱,13
命門穴,月經痛,13
命門穴,月經稀少,13
命門穴,月經週期不規則,13
命門穴,梅尼爾氏病,13
命門穴,泄瀉,13
命門穴,泄痢,13
命門穴,消渴,13
命門穴,男性勃起障礙,13
命門穴,痔瘡,13
命門穴,痢疾,13
命門穴,瘛瘲,13
命門穴,癲癇,13
命門穴,白帶,13
命門穴,白濁,13
命門穴,神經衰弱症,13
命門穴,精液稀薄清冷,13
命門穴,習慣性流產,13
命門穴,胃下垂,13
命門穴,胎屢墜,13
命門穴,脊強反折,13
命門穴,腎炎,13
命門穴,腎結石,13
命門穴,腰痛,13
命門穴,腰脊痛,13
命門穴,腹瀉,13
命門穴,虛損腰痛,13
命門穴,衄血,13
命門穴,貧血,13
命門穴,赤白帶,13
命門穴,赤白帶下,13
命門穴,身體發低熱,13
命門穴,身體發熱四肢冰冷,13
命門穴,輸尿管結石,13
命門穴,過早射精,13
命門穴,遺尿,13
命門穴,遺精,13
命門穴,陽萎,13
命門穴,面色灰暗,13
命門穴,面色較黑,13
命門穴,頭暈耳鳴,13
命門穴,頻尿,13
命門穴,驚恐,13
命門穴,黃帶,13
唇裡穴,口臭,NULL
唇裡穴,眩暈,NULL
唇裡穴,黃疸,NULL
商丘穴,乳痛,4
商丘穴,乾嘔,4
商丘穴,便秘,4
商丘穴,全身性水腫,4
商丘穴,十二指腸炎,4
商丘穴,咳嗽,4
商丘穴,喉痹,4
商丘穴,嘔吐,4
商丘穴,大便失禁,4
商丘穴,大便時間較長,4
商丘穴,大便溏,4
商丘穴,大便秘結,4
商丘穴,大便稀薄,4
商丘穴,小兒驚風,4
商丘穴,暈眩,4
商丘穴,月經期間腹瀉,4
商丘穴,泄瀉,4
商丘穴,消化不良,4
商丘穴,煩滿,4
商丘穴,牙齒緊閉口張不開,4
商丘穴,痔疾,4
商丘穴,痔瘡,4
商丘穴,痢疾,4
商丘穴,癲癇,4
商丘穴,白帶,4
商丘穴,神經性厭食症,4
商丘穴,胃脘痛,4
商丘穴,胃腸脹氣,4
商丘穴,胸椎痛,4
商丘穴,腳內踝痛,4
商丘穴,腳氣病,4
商丘穴,腸鳴,4
商丘穴,腹中有鳴叫聲,4
商丘穴,腹瀉,4
商丘穴,腹痛,4
商丘穴,腹脹,4
商丘穴,舌痛,4
商丘穴,足踝痛,4
商丘穴,食不化,4
商丘穴,食慾不佳,4
商丘穴,黃帶,4
商丘穴,黃疸,4
商曲穴,不嗜食,8
商曲穴,便秘,8
商曲穴,十二指腸炎,8
商曲穴,大便時間較長,8
商曲穴,大便溏,8
商曲穴,大便秘結,8
商曲穴,大便稀薄,8
商曲穴,月經期間腹瀉,8
商曲穴,泄瀉,8
商曲穴,消化不良,8
商曲穴,痢疾,8
商曲穴,目赤痛,8
商曲穴,眼睛紅痛,8
商曲穴,砂眼,8
商曲穴,神經性厭食症,8
商曲穴,胃下垂,8
商曲穴,胃脘痛,8
商曲穴,胃腸脹氣,8
商曲穴,腹中積聚,8
商曲穴,腹瀉,8
商曲穴,腹痛,8
商曲穴,腹脹,8
商曲穴,針眼,8
商曲穴,食慾不佳,8
商曲穴,黃疸,8
商陽穴,上呼吸道感染,2
商陽穴,中風,2
商陽穴,口乾口渴,2
商陽穴,咳嗽,2
商陽穴,咽喉痛,2
商陽穴,咽喉腫痛,2
商陽穴,喉氣管炎,2
商陽穴,夜間遺尿,2
商陽穴,大便溏,2
商陽穴,大便稀薄,2
商陽穴,失明,2
商陽穴,急性咽喉炎,2
商陽穴,感冒,2
商陽穴,慢性喉炎,2
商陽穴,慢性鼻竇炎,2
商陽穴,扁桃腺炎,2
商陽穴,手指麻木,2
商陽穴,昏迷,2
商陽穴,暴食症,2
商陽穴,月經期間腹瀉,2
商陽穴,氣喘,2
商陽穴,熱病,2
商陽穴,牙周疾病,2
商陽穴,牙痛,2
商陽穴,牙關緊閉,2
商陽穴,牙齒痛,2
商陽穴,牙齦出血,2
商陽穴,牙齦腫脹,2
商陽穴,甲狀腺亢進,2
商陽穴,痢疾,2
商陽穴,發冷,2
商陽穴,發燒,2
商陽穴,眼睛紅痛,2
商陽穴,睡眠時磨牙,2
商陽穴,砂眼,2
商陽穴,突然暈倒不省人事,2
商陽穴,耳聾,2
商陽穴,耳鳴,2
商陽穴,肺炎,2
商陽穴,胸中熱,2
商陽穴,胸悶,2
商陽穴,腮腺炎,2
商陽穴,腹瀉,2
商陽穴,針眼,2
商陽穴,青盲,2
商陽穴,頜腫,2
商陽穴,齒痛,2
啞門穴,中風,13
啞門穴,咽喉痛,13
啞門穴,啞,13
啞門穴,喉氣管炎,13
啞門穴,失眠,13
啞門穴,失音,13
啞門穴,急性咽喉炎,13
啞門穴,慢性喉炎,13
啞門穴,瘛瘲,13
啞門穴,癔病,13
啞門穴,癱瘓,13
啞門穴,癲疾,13
啞門穴,癲癇,13
啞門穴,發熱,13
啞門穴,發燒,13
啞門穴,破傷風,13
啞門穴,耳聾,13
啞門穴,脊強反折,13
啞門穴,脖子酸痛,13
啞門穴,舌強,13
啞門穴,言語障礙,13
啞門穴,面色灰暗,13
啞門穴,面色較黑,13
啞門穴,項強,13
啞門穴,頭痛,13
啞門穴,頭重,13
啞門穴,頸部痠痛,13
啞門穴,鼻衄,13
喉中穴,咳嗽,NULL
喉中穴,喉炎,NULL
喉中穴,喉癌,NULL
喉中穴,支氣管炎,NULL
"喉蛾九穴之 喉蛾一穴",喉痛,NULL
"喉蛾九穴之 喉蛾一穴",喉癢,NULL
"喉蛾九穴之 喉蛾一穴",喉蛾,NULL
"喉蛾九穴之 喉蛾一穴",甲狀腺炎,NULL
"喉蛾九穴之 喉蛾一穴",頑痰粘喉不出,NULL
喉蛾九穴之喉蛾七穴。,喉痛,NULL
喉蛾九穴之喉蛾七穴。,喉癢,NULL
喉蛾九穴之喉蛾七穴。,喉蛾,NULL
喉蛾九穴之喉蛾七穴。,甲狀腺炎,NULL
喉蛾九穴之喉蛾七穴。,頑痰粘喉不出,NULL
喉蛾九穴之喉蛾三穴。,喉痛,NULL
喉蛾九穴之喉蛾三穴。,喉癢,NULL
喉蛾九穴之喉蛾三穴。,喉蛾,NULL
喉蛾九穴之喉蛾三穴。,甲狀腺炎,NULL
喉蛾九穴之喉蛾三穴。,頑痰粘喉不出,NULL
喉蛾九穴之喉蛾九穴。,喉痛,NULL
喉蛾九穴之喉蛾九穴。,喉癢,NULL
喉蛾九穴之喉蛾九穴。,喉蛾,NULL
喉蛾九穴之喉蛾九穴。,甲狀腺炎,NULL
喉蛾九穴之喉蛾九穴。,頑痰粘喉不出,NULL
喉蛾九穴之喉蛾二穴,喉痛,NULL
喉蛾九穴之喉蛾二穴,喉癢,NULL
喉蛾九穴之喉蛾二穴,喉蛾,NULL
喉蛾九穴之喉蛾二穴,甲狀腺炎,NULL
喉蛾九穴之喉蛾二穴,頑痰粘喉不出,NULL
喉蛾九穴之喉蛾五穴。,喉痛,NULL
喉蛾九穴之喉蛾五穴。,喉癢,NULL
喉蛾九穴之喉蛾五穴。,喉蛾,NULL
喉蛾九穴之喉蛾五穴。,甲狀腺炎,NULL
喉蛾九穴之喉蛾五穴。,頑痰粘喉不出,NULL
喉蛾九穴之喉蛾八穴。,喉痛,NULL
喉蛾九穴之喉蛾八穴。,喉癢,NULL
喉蛾九穴之喉蛾八穴。,喉蛾,NULL
喉蛾九穴之喉蛾八穴。,甲狀腺炎,NULL
喉蛾九穴之喉蛾八穴。,頑痰粘喉不出,NULL
喉蛾九穴之喉蛾六穴。,喉痛,NULL
喉蛾九穴之喉蛾六穴。,喉癢,NULL
喉蛾九穴之喉蛾六穴。,喉蛾,NULL
喉蛾九穴之喉蛾六穴。,甲狀腺炎,NULL
喉蛾九穴之喉蛾六穴。,頑痰粘喉不出,NULL
喉蛾九穴之喉蛾四穴。,喉痛,NULL
喉蛾九穴之喉蛾四穴。,喉癢,NULL
喉蛾九穴之喉蛾四穴。,喉蛾,NULL
喉蛾九穴之喉蛾四穴。,甲狀腺炎,NULL
喉蛾九穴之喉蛾四穴。,頑痰粘喉不出,NULL
喉靈穴,喉炎,NULL
喉靈穴,喉癌,NULL
喉靈穴,扁桃腺炎,NULL
喉靈穴,鼻塞,NULL
喉靈穴,鼻炎,NULL
喉靈穴,鼻癌,NULL
喉靈穴之金園穴（右邊）,喉炎,NULL
喉靈穴之金園穴（右邊）,喉痛,NULL
喉靈穴之金園穴（右邊）,喉癌,NULL
喉靈穴之金園穴（右邊）,支氣管擴張,NULL
喉靈穴之金園穴（左邊）,喉炎,NULL
喉靈穴之金園穴（左邊）,喉痛,NULL
喉靈穴之金園穴（左邊）,喉癌,NULL
喉靈穴之金園穴（左邊）,支氣管擴張,NULL
喉靈穴之金店穴（右邊）,喉炎,NULL
喉靈穴之金店穴（右邊）,喉痛,NULL
喉靈穴之金店穴（右邊）,喉癌,NULL
喉靈穴之金店穴（右邊）,支氣管擴張,NULL
喉靈穴之金店穴（左邊）,喉炎,NULL
喉靈穴之金店穴（左邊）,喉痛,NULL
喉靈穴之金店穴（左邊）,喉癌,NULL
喉靈穴之金店穴（左邊）,支氣管擴張,NULL
喉靈穴之金新穴（右邊）,喉炎,NULL
喉靈穴之金新穴（右邊）,喉痛,NULL
喉靈穴之金新穴（右邊）,喉癌,NULL
喉靈穴之金新穴（右邊）,支氣管擴張,NULL
喉靈穴之金新穴（左邊）,喉炎,NULL
喉靈穴之金新穴（左邊）,喉痛,NULL
喉靈穴之金新穴（左邊）,喉癌,NULL
喉靈穴之金新穴（左邊）,支氣管擴張,NULL
喉靈穴之金景穴（右邊）,喉炎,NULL
喉靈穴之金景穴（右邊）,喉痛,NULL
喉靈穴之金景穴（右邊）,喉癌,NULL
喉靈穴之金景穴（右邊）,支氣管擴張,NULL
喉靈穴之金景穴（左邊）,喉炎,NULL
喉靈穴之金景穴（左邊）,喉痛,NULL
喉靈穴之金景穴（左邊）,喉癌,NULL
喉靈穴之金景穴（左邊）,支氣管擴張,NULL
喉靈穴之金木穴（右邊）,喉炎,NULL
喉靈穴之金木穴（右邊）,喉痛,NULL
喉靈穴之金木穴（右邊）,喉癌,NULL
喉靈穴之金木穴（右邊）,支氣管擴張,NULL
喉靈穴之金木穴（左邊）,喉炎,NULL
喉靈穴之金木穴（左邊）,喉痛,NULL
喉靈穴之金木穴（左邊）,喉癌,NULL
喉靈穴之金木穴（左邊）,支氣管擴張,NULL
喉靈穴之金枝穴（右邊）,喉炎,NULL
喉靈穴之金枝穴（右邊）,喉痛,NULL
喉靈穴之金枝穴（右邊）,喉癌,NULL
喉靈穴之金枝穴（右邊）,支氣管擴張,NULL
喉靈穴之金枝穴（左邊）,喉炎,NULL
喉靈穴之金枝穴（左邊）,喉痛,NULL
喉靈穴之金枝穴（左邊）,喉癌,NULL
喉靈穴之金枝穴（左邊）,支氣管擴張,NULL
喉靈穴之金神穴（右邊）,喉炎,NULL
喉靈穴之金神穴（右邊）,喉痛,NULL
喉靈穴之金神穴（右邊）,喉癌,NULL
喉靈穴之金神穴（右邊）,支氣管擴張,NULL
喉靈穴之金神穴（左邊）,喉炎,NULL
喉靈穴之金神穴（左邊）,喉痛,NULL
喉靈穴之金神穴（左邊）,喉癌,NULL
喉靈穴之金神穴（左邊）,支氣管擴張,NULL
喉靈穴之金精穴（右邊）,喉炎,NULL
喉靈穴之金精穴（右邊）,喉痛,NULL
喉靈穴之金精穴（右邊）,喉癌,NULL
喉靈穴之金精穴（右邊）,支氣管擴張,NULL
喉靈穴之金精穴（左邊）,喉炎,NULL
喉靈穴之金精穴（左邊）,喉痛,NULL
喉靈穴之金精穴（左邊）,喉癌,NULL
喉靈穴之金精穴（左邊）,支氣管擴張,NULL
四滿穴,下腹部痛,8
四滿穴,不孕,8
四滿穴,便秘,8
四滿穴,全身性水腫,8
四滿穴,前列腺炎,8
四滿穴,夜間遺尿,8
四滿穴,大便時間較長,8
四滿穴,大便溏,8
四滿穴,大便秘結,8
四滿穴,大便稀薄,8
四滿穴,女性不孕症,8
四滿穴,子宮崩漏,8
四滿穴,小便不禁,8
四滿穴,小腹痛,8
四滿穴,尿失禁,8
四滿穴,崩漏,8
四滿穴,帶下,8
四滿穴,排尿困難,8
四滿穴,排尿疼痛,8
四滿穴,月經不調,8
四滿穴,月經期間腹瀉,8
四滿穴,月經痛,8
四滿穴,月經稀少,8
四滿穴,月經週期不規則,8
四滿穴,水腫,8
四滿穴,消化不良,8
四滿穴,產後惡露不淨,8
四滿穴,疝氣,8
四滿穴,痢疾,8
四滿穴,白帶,8
四滿穴,胃腸脹氣,8
四滿穴,腹瀉,8
四滿穴,腹痛,8
四滿穴,腹股溝疝氣,8
四滿穴,腹脹,8
四滿穴,膀胱炎,8
四滿穴,角膜炎,8
四滿穴,遺尿,8
四滿穴,遺精,8
四滿穴,面色灰暗,8
四滿穴,面色較黑,8
四滿穴,黃帶,8
四瀆穴,偏頭痛,10
四瀆穴,前臂痛,10
四瀆穴,吞咽障礙,10
四瀆穴,呼吸氣短,10
四瀆穴,咽喉痛,10
四瀆穴,咽阻如梗,10
四瀆穴,啞,10
四瀆穴,喉氣管炎,10
四瀆穴,失音,10
四瀆穴,急性咽喉炎,10
四瀆穴,慢性喉炎,10
四瀆穴,暈眩,10
四瀆穴,暴喑,10
四瀆穴,暴聾,10
四瀆穴,梅尼爾氏病,10
四瀆穴,牙周疾病,10
四瀆穴,牙痛,10
四瀆穴,牙齒痛,10
四瀆穴,牙齦出血,10
四瀆穴,牙齦腫脹,10
四瀆穴,痄腮,10
四瀆穴,神經衰弱症,10
四瀆穴,耳聾,10
四瀆穴,耳鳴,10
四瀆穴,腎炎,10
四瀆穴,腎結石,10
四瀆穴,腮腺炎,10
四瀆穴,輸尿管結石,10
四瀆穴,頭痛,10
四瀆穴,齒痛,10
四白穴,三叉神經痛,3
四白穴,乾眼症,3
四白穴,口歪眼斜,3
四白穴,夜盲,3
四白穴,慢性結膜炎,3
四白穴,慢性鼻竇炎,3
四白穴,散光,3
四白穴,暈眩,3
四白穴,梅尼爾氏病,3
四白穴,正側臉頰痛,3
四白穴,流淚,3
四白穴,溢淚,3
四白穴,牙齒緊閉口張不開,3
四白穴,目翳,3
四白穴,目赤痛,3
四白穴,目赤痛癢,3
四白穴,目閏動,3
四白穴,眩暈,3
四白穴,眼白部分有紅血絲,3
四白穴,眼睛怕光,3
四白穴,眼睛模糊,3
四白穴,眼睛疲勞,3
四白穴,眼睛癢,3
四白穴,眼睛紅痛,3
四白穴,眼睛脹,3
四白穴,眼瞼動,3
四白穴,砂眼,3
四白穴,色盲,3
四白穴,角膜炎,3
四白穴,貝爾氏癱瘓,3
四白穴,近視,3
四白穴,過敏性鼻炎,3
四白穴,針眼,3
四白穴,面部浮腫,3
四白穴,頭痛,3
四白穴,頭痛眩暈,3
四白穴,頭部面部紅腫,3
四白穴,顏面抽搐,3
四白穴,鼻子癢,3
四白穴,鼻部疼痛,3
四神聰穴,中風,NULL
四神聰穴,偏癱,NULL
四神聰穴,健忘,NULL
四神聰穴,大腦發育不全,NULL
四神聰穴,失眠,NULL
四神聰穴,癇證,NULL
四神聰穴,癲狂,NULL
四神聰穴,眩暈,NULL
四神聰穴,神經性頭痛,NULL
四神聰穴,神經衰弱,NULL
四神聰穴,腦積水,NULL
四神聰穴,頭痛,NULL
四神聰穴,高血壓,NULL
四縫穴,哮喘,NULL
四縫穴,小兒疳積,NULL
四縫穴,消化不良,NULL
四縫穴,疳積,NULL
四縫穴,百日咳,NULL
四縫穴,胃脘痛,NULL
四縫穴,腹瀉,NULL
四肢穴,四肢痛,NULL
四肢穴,糖尿病,NULL
四肢穴,頸項痛,NULL
四腑一穴,全身酸痛,NULL
四腑一穴,反胃,NULL
四腑一穴,口歪眼斜,NULL
四腑一穴,嘔吐,NULL
四腑一穴,昏痛,NULL
四腑一穴,眼壓過高脹痛,NULL
四腑一穴,腹脹,NULL
四腑一穴,頭痛,NULL
四腑一穴,顏面神經麻痺,NULL
四腑二穴,頭痛,NULL
四花上穴,潰瘍,NULL
四花上穴,胃潰瘍,NULL
四花下穴,坐骨神經痛,NULL
四花下穴,急慢性胃腸疾病,NULL
四花下穴,肋膜炎,NULL
四花下穴,肝痛,NULL
四花下穴,頭痛,NULL
四花中穴,狹心症,NULL
四花副穴,骨膜炎,NULL
四花外穴,坐骨神經痛,NULL
四花外穴,急慢性胃腸疾病,NULL
四花外穴,肋膜炎,NULL
四花外穴,肝痛,NULL
四花外穴,頭痛,NULL
四花裡穴,坐骨神經痛,NULL
四花裡穴,急慢性胃腸疾病,NULL
四花裡穴,肋膜炎,NULL
四花裡穴,肝痛,NULL
四花裡穴,頭痛,NULL
四龍穴之火主穴（右邊）,肺癌疼痛,NULL
四龍穴之火主穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火主穴（右邊）,頭昏頭痛,NULL
四龍穴之火主穴（左邊）,肺癌疼痛,NULL
四龍穴之火主穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火主穴（左邊）,頭昏頭痛,NULL
四龍穴之火妙穴（右邊）,肺癌疼痛,NULL
四龍穴之火妙穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火妙穴（右邊）,頭昏頭痛,NULL
四龍穴之火妙穴（左邊）,肺癌疼痛,NULL
四龍穴之火妙穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火妙穴（左邊）,頭昏頭痛,NULL
四龍穴之火巢穴（右邊）,肺癌疼痛,NULL
四龍穴之火巢穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火巢穴（右邊）,頭昏頭痛,NULL
四龍穴之火巢穴（左邊）,肺癌疼痛,NULL
四龍穴之火巢穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火巢穴（左邊）,頭昏頭痛,NULL
四龍穴之火強穴（右邊）,肺癌疼痛,NULL
四龍穴之火強穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火強穴（右邊）,頭昏頭痛,NULL
四龍穴之火強穴（左邊）,肺癌疼痛,NULL
四龍穴之火強穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火強穴（左邊）,頭昏頭痛,NULL
四龍穴之火星穴（右邊）,肺癌疼痛,NULL
四龍穴之火星穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火星穴（右邊）,頭昏頭痛,NULL
四龍穴之火星穴（左邊）,肺癌疼痛,NULL
四龍穴之火星穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火星穴（左邊）,頭昏頭痛,NULL
四龍穴之火球穴（右邊）,肺癌疼痛,NULL
四龍穴之火球穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火球穴（右邊）,頭昏頭痛,NULL
四龍穴之火球穴（左邊）,肺癌疼痛,NULL
四龍穴之火球穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火球穴（左邊）,頭昏頭痛,NULL
四龍穴之火生穴（右邊）,肺癌疼痛,NULL
四龍穴之火生穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火生穴（右邊）,頭昏頭痛,NULL
四龍穴之火生穴（左邊）,肺癌疼痛,NULL
四龍穴之火生穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火生穴（左邊）,頭昏頭痛,NULL
四龍穴之火程穴（右邊）,肺癌疼痛,NULL
四龍穴之火程穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火程穴（右邊）,頭昏頭痛,NULL
四龍穴之火程穴（左邊）,肺癌疼痛,NULL
四龍穴之火程穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火程穴（左邊）,頭昏頭痛,NULL
四龍穴之火花穴（右邊）,肺癌疼痛,NULL
四龍穴之火花穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火花穴（右邊）,頭昏頭痛,NULL
四龍穴之火花穴（左邊）,肺癌疼痛,NULL
四龍穴之火花穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火花穴（左邊）,頭昏頭痛,NULL
四龍穴之火蜜穴（右邊）,肺癌疼痛,NULL
四龍穴之火蜜穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火蜜穴（右邊）,頭昏頭痛,NULL
四龍穴之火蜜穴（左邊）,肺癌疼痛,NULL
四龍穴之火蜜穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火蜜穴（左邊）,頭昏頭痛,NULL
四龍穴之火重穴（右邊）,肺癌疼痛,NULL
四龍穴之火重穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火重穴（右邊）,頭昏頭痛,NULL
四龍穴之火重穴（左邊）,肺癌疼痛,NULL
四龍穴之火重穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火重穴（左邊）,頭昏頭痛,NULL
四龍穴之火鳳穴（右邊）,肺癌疼痛,NULL
四龍穴之火鳳穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之火鳳穴（右邊）,頭昏頭痛,NULL
四龍穴之火鳳穴（左邊）,肺癌疼痛,NULL
四龍穴之火鳳穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之火鳳穴（左邊）,頭昏頭痛,NULL
四龍穴之金全穴（右邊）,肺癌疼痛,NULL
四龍穴之金全穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之金全穴（右邊）,頭昏頭痛,NULL
四龍穴之金全穴（左邊）,肺癌疼痛,NULL
四龍穴之金全穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之金全穴（左邊）,頭昏頭痛,NULL
四龍穴之金口穴（右邊）,肺癌疼痛,NULL
四龍穴之金口穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之金口穴（右邊）,頭昏頭痛,NULL
四龍穴之金口穴（左邊）,肺癌疼痛,NULL
四龍穴之金口穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之金口穴（左邊）,頭昏頭痛,NULL
四龍穴之金曲穴（右邊）,肺癌疼痛,NULL
四龍穴之金曲穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之金曲穴（右邊）,頭昏頭痛,NULL
四龍穴之金曲穴（左邊）,肺癌疼痛,NULL
四龍穴之金曲穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之金曲穴（左邊）,頭昏頭痛,NULL
四龍穴之金林穴（右邊）,肺癌疼痛,NULL
四龍穴之金林穴（右邊）,胃及十二指腸潰瘍,NULL
四龍穴之金林穴（右邊）,頭昏頭痛,NULL
四龍穴之金林穴（左邊）,肺癌疼痛,NULL
四龍穴之金林穴（左邊）,胃及十二指腸潰瘍,NULL
四龍穴之金林穴（左邊）,頭昏頭痛,NULL
囟會穴,中風,13
囟會穴,乾嘔,13
囟會穴,原發性高血壓,13
囟會穴,咽炎,13
囟會穴,嗜眠症,13
囟會穴,嗜睡症,13
囟會穴,嘔吐,13
囟會穴,容易健忘,13
囟會穴,寒熱,13
囟會穴,心悸,13
囟會穴,慢性鼻炎,13
囟會穴,慢性鼻竇炎,13
囟會穴,暈眩,13
囟會穴,梅尼爾氏病,13
囟會穴,流鼻血,13
囟會穴,癲癇,13
囟會穴,白痰,13
囟會穴,白鼻涕,13
囟會穴,經常疲勞想睡,13
囟會穴,過敏性鼻炎,13
囟會穴,面腫,13
囟會穴,面赤腫,13
囟會穴,面部浮腫,13
囟會穴,頭痛,13
囟會穴,黃痰,13
囟會穴,黃鼻涕,13
囟會穴,鼻咽炎,13
囟會穴,鼻塞,13
囟會穴,鼻子乾燥,13
囟會穴,鼻子癢,13
囟會穴,鼻部疼痛,13
土府穴,肝硬化,NULL
土府穴,膽汁分泌不足所引起之腸胃炎下痢,NULL
土昌一穴,四肢痛,NULL
土昌一穴,肝炎,NULL
土昌一穴,肝硬化,NULL
土昌一穴,胃酸過多,NULL
土昌一穴,脾腫大,NULL
土昌一穴,脾臟炎,NULL
土昌一穴,膽囊炎,NULL
土昌一穴,頭昏,NULL
土昌一穴,頭暈,NULL
土昌一穴,頭痛,NULL
土昌三穴,四肢痛,NULL
土昌三穴,肝炎,NULL
土昌三穴,肝硬化,NULL
土昌三穴,胃酸過多,NULL
土昌三穴,脾腫大,NULL
土昌三穴,脾臟炎,NULL
土昌三穴,膽囊炎,NULL
土昌三穴,頭昏,NULL
土昌三穴,頭暈,NULL
土昌三穴,頭痛,NULL
土昌二穴,四肢痛,NULL
土昌二穴,肝炎,NULL
土昌二穴,肝硬化,NULL
土昌二穴,胃酸過多,NULL
土昌二穴,脾腫大,NULL
土昌二穴,脾臟炎,NULL
土昌二穴,膽囊炎,NULL
土昌二穴,頭昏,NULL
土昌二穴,頭暈,NULL
土昌二穴,頭痛,NULL
土昌五穴,四肢痛,NULL
土昌五穴,肝炎,NULL
土昌五穴,肝硬化,NULL
土昌五穴,胃酸過多,NULL
土昌五穴,脾腫大,NULL
土昌五穴,脾臟炎,NULL
土昌五穴,膽囊炎,NULL
土昌五穴,頭昏,NULL
土昌五穴,頭暈,NULL
土昌五穴,頭痛,NULL
土昌四穴,四肢痛,NULL
土昌四穴,肝炎,NULL
土昌四穴,肝硬化,NULL
土昌四穴,胃酸過多,NULL
土昌四穴,脾腫大,NULL
土昌四穴,脾臟炎,NULL
土昌四穴,膽囊炎,NULL
土昌四穴,頭昏,NULL
土昌四穴,頭暈,NULL
土昌四穴,頭痛,NULL
土曲穴,肝硬化,NULL
土曲穴,膽汁分泌不足所引起之腸胃炎下痢,NULL
土水一穴,久年胃病,NULL
土水一穴,全身骨腫痛,NULL
土水一穴,兩腿內側肌肉痛,NULL
土水一穴,咳嗽,NULL
土水一穴,坐骨神經痛,NULL
土水一穴,急慢性胃炎,NULL
土水一穴,扁桃腺炎,NULL
土水一穴,氣喘,NULL
土水一穴,腰痛,NULL
土水一穴,骨膜炎,NULL
土水三穴,久年胃病,NULL
土水三穴,全身骨腫痛,NULL
土水三穴,兩腿內側肌肉痛,NULL
土水三穴,咳嗽,NULL
土水三穴,坐骨神經痛,NULL
土水三穴,急慢性胃炎,NULL
土水三穴,扁桃腺炎,NULL
土水三穴,氣喘,NULL
土水三穴,腰痛,NULL
土水三穴,骨膜炎,NULL
土水二穴,久年胃病,NULL
土水二穴,全身骨腫痛,NULL
土水二穴,兩腿內側肌肉痛,NULL
土水二穴,咳嗽,NULL
土水二穴,坐骨神經痛,NULL
土水二穴,急慢性胃炎,NULL
土水二穴,扁桃腺炎,NULL
土水二穴,氣喘,NULL
土水二穴,腰痛,NULL
土水二穴,骨膜炎,NULL
土耳穴,神經衰弱,NULL
土耳穴,糖尿病,NULL
土耳穴,紅血球過多症,NULL
土胃一穴,胃及十二指腸炎,NULL
土胃三穴,胃及十二指腸炎,NULL
土胃二穴,胃及十二指腸炎,NULL
土興一穴,急性腸炎,NULL
土興一穴,慢性胃腺癌,NULL
土興一穴,胃炎,NULL
土興二穴,兩脇痛,NULL
土興二穴,急慢性腸炎,NULL
土興二穴,牙痛,NULL
土興二穴,胃痛,NULL
土興二穴,胃腺癌,NULL
土興二穴,脾臟炎,NULL
土航一穴,腹痛,NULL
土航二穴,腹痛,NULL
土華穴,肝硬化,NULL
土華穴,膽汁分泌不足所引起之腸胃炎下痢,NULL
土靈穴,惡性貧血(再生不良性貧血症狀),NULL
土頂穴,心臟病,NULL
土頂穴,頭痛,NULL
地五會穴,乳癰,11
地五會穴,乳腺炎,11
地五會穴,目赤痛,11
地五會穴,耳聾,11
地五會穴,耳鳴,11
地五會穴,胸滿,11
地五會穴,脅痛,11
地五會穴,腋下腫,11
地五會穴,腋腫,11
地五會穴,腰痛,11
地五會穴,跗腫,11
地五會穴,頭痛,11
